Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,SMA20,Prev_Close,Prev_SMA20,Buy_Signal,Sell_Signal
2024-08-16,24541.150390625,24563.900390625,24204.5,24334.849609375,271600,24477.392578125,24143.75,24490.3775390625,True,False
2024-08-19,24572.650390625,24638.80078125,24522.94921875,24636.349609375,243600,24479.480078125,24541.150390625,24477.392578125,False,False
2024-08-20,24698.849609375,24734.30078125,24607.19921875,24648.900390625,238300,24488.96005859375,24572.650390625,24479.480078125,False,False
2024-08-21,24770.19921875,24787.94921875,24654.5,24680.55078125,257100,24503.51748046875,24698.849609375,24488.96005859375,False,False
2024-08-22,24811.5,24867.349609375,24784.44921875,24863.400390625,220300,24523.41748046875,24770.19921875,24503.51748046875,False,False
2024-08-23,24823.150390625,24858.400390625,24771.650390625,24845.400390625,206800,24544.27001953125,24811.5,24523.41748046875,False,False
2024-08-26,25010.599609375,25043.80078125,24874.69921875,24906.099609375,210300,24553.05751953125,24823.150390625,24544.27001953125,False,False
2024-08-27,25017.75,25073.099609375,24973.650390625,25024.80078125,223300,24562.1400390625,25010.599609375,24553.05751953125,False,False
2024-08-28,25052.349609375,25129.599609375,24964.650390625,25030.80078125,220400,24571.89248046875,25017.75,24562.1400390625,False,False
2024-08-29,25151.94921875,25192.900390625,24998.5,25035.30078125,354000,24581.932421875,25052.349609375,24571.89248046875,False,False
2024-08-30,25235.900390625,25268.349609375,25199.400390625,25249.69921875,638200,24593.182421875,25151.94921875,24581.932421875,False,False
2024-09-02,25278.69921875,25333.650390625,25235.5,25333.599609375,222800,24621.232421875,25235.900390625,24593.182421875,False,False
2024-09-03,25279.849609375,25321.69921875,25235.80078125,25313.400390625,212100,24682.444921875,25278.69921875,24621.232421875,False,False
2024-09-04,25198.69921875,25216.0,25083.80078125,25089.94921875,253800,24742.75234375,25279.849609375,24682.444921875,False,False
2024-09-05,25145.099609375,25275.44921875,25127.75,25250.5,222200,24785.13232421875,25198.69921875,24742.75234375,False,False
2024-09-06,24852.150390625,25168.75,24801.30078125,25093.69921875,311700,24821.88984375,25145.099609375,24785.13232421875,False,False
2024-09-09,24936.400390625,24957.5,24753.150390625,24823.400390625,254400,24850.33486328125,24852.150390625,24821.88984375,False,False
2024-09-10,25041.099609375,25130.5,24896.80078125,24999.400390625,251300,24885.03984375,24936.400390625,24850.33486328125,False,False
2024-09-11,24918.44921875,25113.69921875,24885.150390625,25034.0,279200,24924.0123046875,25041.099609375,24885.03984375,False,True
2024-09-12,25388.900390625,25433.349609375,24941.44921875,25059.650390625,380100,24986.26982421875,24918.44921875,24924.0123046875,True,False
2024-09-13,25356.5,25430.5,25292.44921875,25430.44921875,250800,25027.0373046875,25388.900390625,24986.26982421875,False,False
2024-09-16,25383.75,25445.69921875,25336.19921875,25406.650390625,168700,25067.59228515625,25356.5,25027.0373046875,False,False
2024-09-17,25418.55078125,25441.650390625,25352.25,25416.900390625,216000,25103.57734375,25383.75,25067.59228515625,False,False
2024-09-18,25377.55078125,25482.19921875,25285.55078125,25402.400390625,215700,25133.944921875,25418.55078125,25103.57734375,False,False
2024-09-19,25415.80078125,25611.94921875,25376.05078125,25487.05078125,314500,25164.1599609375,25377.55078125,25133.944921875,False,False
2024-09-20,25790.94921875,25849.25,25426.599609375,25525.94921875,533100,25212.54990234375,25415.80078125,25164.1599609375,False,False
2024-09-23,25939.05078125,25956.0,25847.349609375,25872.55078125,209200,25258.9724609375,25790.94921875,25212.54990234375,False,False
2024-09-24,25940.400390625,26011.55078125,25886.849609375,25921.44921875,384100,25305.10498046875,25939.05078125,25258.9724609375,False,False
2024-09-25,26004.150390625,26032.80078125,25871.349609375,25899.44921875,278500,25352.69501953125,25940.400390625,25305.10498046875,False,False
2024-09-26,26216.05078125,26250.900390625,25998.400390625,26005.400390625,370900,25405.90009765625,26004.150390625,25352.69501953125,False,False
2024-09-27,26178.94921875,26277.349609375,26151.400390625,26248.25,490300,25453.0525390625,26216.05078125,25405.90009765625,False,False
2024-09-30,25810.849609375,26134.69921875,25794.099609375,26061.30078125,343100,25479.66005859375,26178.94921875,25453.0525390625,False,False
2024-10-01,25796.900390625,25907.599609375,25739.19921875,25788.44921875,247400,25505.51259765625,25810.849609375,25479.66005859375,False,False
2024-10-03,25250.099609375,25639.44921875,25230.30078125,25452.849609375,423400,25508.0826171875,25796.900390625,25505.51259765625,False,True
2024-10-04,25014.599609375,25485.05078125,24966.80078125,25181.900390625,374900,25501.5576171875,25250.099609375,25508.0826171875,False,False
2024-10-07,24795.75,25143.0,24694.349609375,25084.099609375,374300,25498.73759765625,25014.599609375,25501.5576171875,False,False
2024-10-08,25013.150390625,25044.0,24756.80078125,24832.19921875,333200,25502.57509765625,24795.75,25498.73759765625,False,False
2024-10-09,24981.94921875,25234.05078125,24947.69921875,25065.80078125,290600,25499.617578125,25013.150390625,25502.57509765625,False,False
2024-10-10,24998.44921875,25134.05078125,24979.400390625,25067.05078125,261400,25503.617578125,24981.94921875,25499.617578125,False,False
2024-10-11,24964.25,25028.650390625,24920.05078125,24985.30078125,210500,25482.38505859375,24998.44921875,25503.617578125,False,False
2024-10-14,25127.94921875,25159.75,25017.5,25023.44921875,206400,25470.95751953125,24964.25,25482.38505859375,False,False
2024-10-15,25057.349609375,25212.05078125,25008.150390625,25186.30078125,257200,25454.6375,25127.94921875,25470.95751953125,False,False
2024-10-16,24971.30078125,25093.400390625,24908.44921875,25008.55078125,226800,25432.275,25057.349609375,25454.6375,False,False
2024-10-17,24749.849609375,25029.5,24728.900390625,25027.400390625,252800,25400.88994140625,24971.30078125,25432.275,False,False
2024-10-18,24854.05078125,24886.19921875,24567.650390625,24664.94921875,290900,25372.80244140625,24749.849609375,25400.88994140625,False,False
2024-10-21,24781.099609375,24978.30078125,24679.599609375,24956.150390625,242000,25322.3099609375,24854.05078125,25372.80244140625,False,False
2024-10-22,24472.099609375,24882.0,24445.80078125,24798.650390625,279500,25248.96240234375,24781.099609375,25322.3099609375,False,False
2024-10-23,24435.5,24604.25,24378.099609375,24378.150390625,284600,25173.7173828125,24472.099609375,25248.96240234375,False,False
2024-10-24,24399.400390625,24480.650390625,24341.19921875,24412.69921875,216700,25093.4798828125,24435.5,25173.7173828125,False,False
2024-10-25,24180.80078125,24440.25,24073.900390625,24418.05078125,372600,24991.7173828125,24399.400390625,25093.4798828125,False,False
2024-10-28,24339.150390625,24492.599609375,24134.900390625,24251.099609375,278600,24899.72744140625,24180.80078125,24991.7173828125,False,False
2024-10-29,24466.849609375,24484.5,24140.849609375,24328.849609375,332000,24832.52744140625,24339.150390625,24899.72744140625,False,False
2024-10-30,24340.849609375,24498.19921875,24307.30078125,24371.44921875,285200,24759.72490234375,24466.849609375,24832.52744140625,False,False
2024-10-31,24205.349609375,24372.44921875,24172.599609375,24349.849609375,287000,24707.48740234375,24340.849609375,24759.72490234375,False,False
2024-11-01,24304.349609375,24368.25,24280.19921875,24302.75,38800,24671.97490234375,24205.349609375,24707.48740234375,False,False
2024-11-04,23995.349609375,24316.75,23816.150390625,24315.75,285500,24631.9548828125,24304.349609375,24671.97490234375,False,False
2024-11-05,24213.30078125,24229.05078125,23842.75,23916.5,289500,24591.96240234375,23995.349609375,24631.9548828125,False,False
2024-11-06,24484.05078125,24537.599609375,24204.05078125,24308.75,351100,24567.06748046875,24213.30078125,24591.96240234375,False,False
2024-11-07,24199.349609375,24503.349609375,24179.05078125,24489.599609375,322200,24527.1125,24484.05078125,24567.06748046875,False,False
2024-11-08,24148.19921875,24276.150390625,24066.650390625,24207.69921875,298700,24486.3099609375,24199.349609375,24527.1125,False,False
2024-11-11,24141.30078125,24336.80078125,24004.599609375,24087.25,273400,24436.9775390625,24148.19921875,24486.3099609375,False,False
